Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
AMZN,MSFT,NVDA,AMZN,MSFT,NVDA,AMZN,MSFT,NVDA,AMZN,MSFT,NVDA,AMZN,MSFT,NVDA,AMZN,MSFT,NVDA
179.0019989013672,331.6049499511719,317.01177978515625,179.0019989013672,337.67999267578125,317.4599914550781,181.05250549316406,339.45001220703125,323.6000061035156,176.385498046875,333.55999755859375,308.79998779296875,179.2519989013672,337.04998779296875,315.3500061035156,73804000,30427600,53216300
179.02049255371094,331.830810546875,326.2787170410156,179.02049255371094,337.9100036621094,326.739990234375,180.6820068359375,338.1600036621094,328.54998779296875,176.84249877929688,333.9100036621094,309.2799987792969,178.1334991455078,336.2799987792969,314.6099853515625,46560000,21661300,43516200
175.22799682617188,323.74884033203125,314.58526611328125,175.22799682617188,329.67999267578125,315.0299987792969,181.6750030517578,337.92999267578125,327.1000061035156,175.20750427246094,328.1199951171875,313.5,180.10499572753906,334.3500061035156,326.0,59826000,24217200,28306900
178.07850646972656,330.5738220214844,333.28875732421875,178.07850646972656,336.6300048828125,333.760009765625,179.8000030517578,339.0299987792969,334.1199951171875,176.5749969482422,334.739990234375,320.3599853515625,177.3820037841797,334.94000244140625,323.6600036621094,65312000,28563500,45496400
175.35350036621094,324.6424865722656,326.2986755371094,175.35350036621094,330.5899963378906,326.760009765625,179.2884979248047,337.7799987792969,333.5299987792969,174.60049438476562,328.989990234375,318.6400146484375,178.1750030517578,335.32000732421875,331.69000244140625,80022000,42885600,62206600
172.18600463867188,324.1417236328125,313.94464111328125,172.18600463867188,330.0799865722656,314.3500061035156,177.99400329589844,339.2799987792969,332.8900146484375,172.0800018310547,329.3900146484375,313.79998779296875,177.25,335.1300048828125,332.19000244140625,74916000,33337600,48436800
171.8679962158203,323.5622863769531,320.8457946777344,171.8679962158203,329.489990234375,321.260009765625,174.63499450683594,333.489990234375,324.7799987792969,171.1875,327.79998779296875,310.25,173.0,330.29998779296875,312.1400146484375,64726000,30766000,47289000
169.489501953125,317.19891357421875,306.5342102050781,169.489501953125,323.010009765625,306.92999267578125,173.49349975585938,332.70001220703125,321.2900085449219,166.92999267578125,318.0299987792969,301.29998779296875,172.75,331.989990234375,320.0,80712000,41779300,54432500
171.36849975585938,320.3216552734375,299.9826354980469,171.36849975585938,326.19000244140625,300.3699951171875,173.69549560546875,327.45001220703125,302.4100036621094,166.9344940185547,319.2300109863281,280.3800048828125,169.64999389648438,323.95001220703125,298.79998779296875,68860000,30032600,65893800
176.1645050048828,328.8946228027344,323.8518371582031,176.1645050048828,334.9200134277344,324.2699890136719,177.49949645996094,335.79998779296875,324.489990234375,173.33450317382812,330.1000061035156,306.510009765625,174.60000610351562,331.6400146484375,309.57000732421875,66410000,31021900,59305300
176.1580047607422,328.9437255859375,317.8496398925781,176.1580047607422,334.9700012207031,318.260009765625,177.17999267578125,335.5,322.8999938964844,174.75050354003906,330.79998779296875,314.2099914550781,176.15049743652344,335.30999755859375,319.989990234375,45254000,24761000,47555100
174.17100524902344,327.1073303222656,304.5068359375,174.17100524902344,333.1000061035156,304.8999938964844,176.96949768066406,336.489990234375,322.04998779296875,174.13949584960938,332.1199951171875,304.2799987792969,175.75,334.4100036621094,317.3399963378906,46062000,22214200,48850700
172.21200561523438,336.3775329589844,301.5906066894531,172.21200561523438,342.5400085449219,301.9800109863281,175.927001953125,343.0,313.04998779296875,170.5,334.7900085449219,298.6099853515625,175.41700744628906,334.9800109863281,311.5,60690000,38095700,48882500
169.5675048828125,333.2939758300781,281.2468566894531,169.5675048828125,339.3999938964844,281.6099853515625,172.10000610351562,343.7900085449219,302.94000244140625,169.1300048828125,339.0799865722656,281.1600036621094,172.0,340.67999267578125,302.489990234375,62170000,28899400,59834400
169.0915069580078,322.4330139160156,283.0046081542969,169.0915069580078,328.3399963378906,283.3699951171875,169.49899291992188,334.6400146484375,286.7799987792969,166.44000244140625,324.1099853515625,272.5,167.5500030517578,333.2200012207031,276.989990234375,55976000,44438700,66703500
173.31500244140625,328.62945556640625,304.1972351074219,173.31500244140625,334.6499938964844,304.5899963378906,173.60000610351562,335.19000244140625,305.0,165.19500732421875,324.5,278.3800048828125,168.59800720214844,328.6099853515625,284.0,75794000,35381100,69829700
168.87100219726562,319.05487060546875,283.50396728515625,168.87100219726562,324.8999938964844,283.8699951171875,174.16600036621094,336.760009765625,311.6000061035156,168.16050720214844,323.0199890136719,280.92999267578125,173.36849975585938,335.7099914550781,311.5199890136719,60876000,35034800,70736600
170.0175018310547,317.97467041015625,277.6514892578125,170.0175018310547,323.79998779296875,278.010009765625,170.89849853515625,324.9200134277344,289.2200012207031,165.61349487304688,317.25,277.6000061035156,167.7104949951172,320.8800048828125,279.8500061035156,85542000,47750300,71375800
167.07899475097656,314.15460205078125,276.83258056640625,167.07899475097656,319.9100036621094,277.19000244140625,167.87449645996094,322.79998779296875,281.44000244140625,165.60000610351562,317.57000732421875,271.45001220703125,166.85000610351562,320.04998779296875,273.04998779296875,57372000,28326500,46184700
170.41700744628906,321.40185546875,290.3750915527344,170.41700744628906,327.2900085449219,290.75,170.7165069580078,327.7300109863281,291.20001220703125,165.6475067138672,319.79998779296875,274.010009765625,167.85049438476562,323.2900085449219,283.739990234375,55956000,24740600,52438500
