,Empresa,Vaga,Local,Nota,Link,Descrição,Sede,Tamanho,Fundação,Tipo,Receita,Oportunidades de carreira,Remuneração e benefícios,Cultura e valores,Alta liderança,Qualidade de vida,Recomendam para outras pessoas,Setor,Descrição_tratada,Cargo,Experiência
0, Unisoma Computação,analista de data science  cientista de dados,Campinas,3.5,https://www.glassdoor.com.br/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=0000018510b29fbf98c5b1b0602b1e36&src=GD_JOB_AD&t=SR&vt=w&cs=1_8854943b&cb=1671022420142&jobListingId=1008334473436&jrtk=3-0-1gk8b57vakf27801-1gk8b5801im97801-c90c14d028d1044e-,"Oportunidade para quem tem conhecimento em modelagem estatística e análise de dados, que tenha interesse em desenvolver atividades utilizando metodologias e técnicas adequadas para a solução dos problemas propostos.
Sua missão:
Levantar com o suporte dos Engenheiros de Dados, informações pertinentes de fontes diversas para as análises necessárias, visando solucionar o problema do cliente.
Realizar a análise e tratamento da base de dados que será utilizada na modelagem estatística.
Aplicar a técnica mais adequada, discutida junto ao time, para responder a demanda do cliente.
Acompanhar a performance dos modelos em produção para avaliar a necessidade da revisão do mesmo.
Elaborar relatórios técnicos para o cliente com os estudos e resultados encontrados nas análises e modelagem dos dados.
Fornecer suporte ao cliente em relação às dúvidas relacionadas às soluções propostas ou implantadas e interpretação de seus resultados.
Participar de reuniões para disseminação de melhores práticas e padrões de desenvolvimento.
Elaborar e apresentar os resultados dos estudos estatísticos para o cliente.
Realizar estudos para atualização técnica ou solução de problemas específicos, trazendo as melhores práticas de mercado para a UniSoma.
Realizar outras atividades profissionais inerentes ao cargo exercido, conforme orientação e solicitação do Gestor imediato ou Gestor do time.
Você precisa ter:
Conhecimento em Python para Data Science (pandas, numpy, sklearn, statsmodel, matplotlib, seaborn) e/ou R (tidyverse, tidymodels, ggplot2)
Conhecimento básico de SQL
Conhecimento básico de Excel
Prática com manipulação de bases de dados
Prática em interpretação de modelos de regressão
Conhecimentos sólidos de estatísticas descritivas e análise exploratória de dados
Você irá se destacar caso tenha:
Conhecimento em BI
Conhecimento em story telling
Conhecimento intermediário de ExcelMostrar mais Report","Campinas, Brasil",De 1 a 50 funcionários,1984.0,Empresa – capital fechado,De US$ 5 a US$ 25 milhões,2.7,3.5,3.7,3.5,4.0,74,Não Informado,"exploratoria solucoes descritivas producao excelmostrar utilizada encontrados tidyverse metodologias regressao . melhores realizar engenheiros interpretacao estatistica problema propostas pertinentes tecnica adequada fontes participar fornecer ira story atividades voce precisa apresentar necessarias avaliar solucao reunioes performance conhecimento inerentes conhecimentos pandas basico ter padroes profissionais analise diversas imediato atualizacao revisao e/ou caso telling adequadas gestor dados relacao statsmodel exercido report estudos science suporte solucionar problemas interesse : sera numpy sklearn utilizando data informacoes estatisticos implantadas elaborar , unisoma conforme sql levantar bi ( missao relacionadas relatorios outras resultados time propostos matplotlib responder orientacao modelos especificos tratamento pratica solidos junto mercado cargo disseminacao ) desenvolvimento bases tidymodels tecnicas r tecnicos trazendo aplicar excel desenvolver modelagem duvidas ggplot2 visando analises necessidade intermediario oportunidade estatisticas praticas seaborn destacar demanda base acompanhar cliente solicitacao python discutida manipulacao",cientista de dados,Não Informado
1, Digio,cientista de dados senior,Trabalho remoto,4.4,https://www.glassdoor.com.br/partner/jobListing.htm?pos=112&ao=1136043&s=58&guid=0000018510b29fbf98c5b1b0602b1e36&src=GD_JOB_AD&t=SR&vt=w&cs=1_5bd4a89b&cb=1671022420144&jobListingId=1008344511233&jrtk=3-0-1gk8b57vakf27801-1gk8b5801im97801-3dc08df0b7398e9f-,"O objetivo da célula de Data Science do Digio é liderar projetos que gerem valor para companhia pelo uso inteligente dos dados, alavancando a receita ou otimizando os custos;
O nosso candidato ideal é extremamente curioso e se sente à vontade para explorar novas abordagens para soluções de problemas;
Esperamos também que consiga aliar o entendimento do funcionamento do nosso negócio a um olhar analítico, levantando e validando hipóteses, e propondo soluções que de fato impactem os KPIs da companhia.
Responsabilidades e atribuições
Levantamento e validação de hipóteses utilizando dados e propor testes quando necessário;Desenvolvimento do pipeline de treino de novos modelos de Machine Learning;Criação de novas features, manutenção e evolução da Feature Store;Acompanhar os modelos em produção (drift de dados, métricas de performance online e offline);Participar, junto ao time de ML Engineering, no processo de evolução da esteira de CI/CD de ML Ops.
Requisitos e qualificações
Bons conhecimentos em Python, Pyspark e SQL;Conceitos sólidos de machine learning (feature engineering, pipelines, model selection, hyperparameter optimization);Conhecimento da metodologia Ágil.
São diferenciais:Possuir experiência com Databricks;Possuir experiência com ambiente AWS.
O Digio é mais que um banco digital. Somos uma bantech: contamos com a solidez de um banco e a agilidade de uma fintech. Também somos apaixonados por tecnologia e, por meio dela, buscamos transformar a vida financeira de nossos clientes com segurança e transparência.
+ EficiênciaBurocracia
Diariamente, criamos soluções digitais para descomplicar o jeito com que os brasileiros cuidam do seu dinheiro. Trabalhamos para que o Digio tenha tudo o que nossos clientes precisam em um só lugar: no DigioApp. Com simplicidade, eficiência, livre de burocracia e acesso a qualquer hora e de qualquer lugar.
+ TransformaçãoZona de conforto
Aqui no Digio, oferecemos uma cultura construída pela colaboração, uma carreira com aprendizados e crescimento contínuos, além do senso de propriedade e orgulho por um trabalho de excelência.
Pessoas são nosso ativo mais importante e, sem elas, o Digio não teria chegado tão longe. Por todos esses motivos, apostamos na inovação como a mola propulsora para cada uma das pessoas incríveis que integra este time. Nós fazemos mais, porque fazemos juntos.
E, quando construímos juntos, tudo se transforma.Mostrar mais Report","Barueri, Brasil",De 201 a 500 funcionários,2013.0,Empresa – capital fechado,Desconhecido/Não se aplica,4.3,4.4,4.4,3.8,4.3,95,Financeiro,"liderar solucoes optimization producao qualificacoes oferecemos crescimento diariamente databricks juntos jeito manutencao propulsora nao tambem responsabilidades levantando ambiente celula . qualquer conceitos colaboracao companhia simplicidade projetos uso digio atribuicoes metodologia aliar participar testes construida ci/cd tao cuidam cultura ops banco gerem explorar inovacao bantech validacao longe motivos performance digioapp conhecimento tecnologia objetivo trabalho valor esteira conhecimentos incriveis transparencia metricas criamos transforma.mostrar eficiencia selection sao aqui bons negocio novas agilidade requisitos entendimento dados report propriedade science machine problemas consiga burocracia senso agil propondo tudo orgulho conforto : aprendizados curioso online offline novos funcionamento propor custos pyspark inteligente mola utilizando esperamos digital extremamente fato data feature apostamos vida financeira experiencia validando possuir evolucao pessoas , aws pipelines sql ( eficienciaburocracia analitico alavancando time drift contamos engineering precisam lugar modelos fintech seguranca model hora olhar solidos treino learning otimizando junto descomplicar abordagens clientes porque meio necessario carreira candidato alem hyperparameter chegado excelencia ativo hipoteses diferenciais features vontade ) kpis fazemos desenvolvimento criacao continuos livre brasileiros trabalhamos cada importante processo sente receita buscamos ideal acesso store transformar digitais solidez ml integra ; transformacaozona apaixonados todos dinheiro impactem + acompanhar python construimos so levantamento pipeline",cientista de dados,senior
2, GRUPO AGROMERCANTIL,lider cientista de dados,Uberlândia,5.0,https://www.glassdoor.com.br/partner/jobListing.htm?pos=116&ao=1136043&s=58&guid=0000018510b29fbf98c5b1b0602b1e36&src=GD_JOB_AD&t=SR&vt=w&cs=1_ff1c269e&cb=1671022420144&jobListingId=1008331711027&jrtk=3-0-1gk8b57vakf27801-1gk8b5801im97801-5408f9c95b7817d0-,"MISSÃO
Liderar pessoas e projetos desenvolvendo inteligência para o negócio por meio da ciência de dados.
FORMAÇÃO E CONHECIMENTOS TÉCNICOS
Superior completo, preferencialmente na área de exatas.
Certificação Scrum Master.
Conhecimentos consistentes em Python, SQL e seus frameworkse bibliotecas.
Desejável Certificação em Ciência de Dados.
EXPERIÊNCIA
Experiência significativa como líder de pessoas e projetos estruturantes, simultâneos e de áreas diferentes.
Atuação nas áreas ou em projetos de Inteligência de Dados e/ou de Ciência de Dados, com proficiência em técnicas de mineração de dados, de modelagem como regressão logística, árvores de decisão, machineLearning,entre outras.
Atuação como Scrum Master.
Desejável atuação em empresas com estruturas híbridas dos métodos de trabalho Tradicional e Ágil.
ATRIBUIÇÕES E RESPONSABILIDADES
Implementar, aplicar e gerir a metodologia ágil de gestão de projetos adotada.
Coordenar o estudo de novas técnicas para desenvolvimento de modelos estatísticos.
Fomentar junto a equipe oportunidades ocultas nos dados.
Participar de reuniões para entendimento de problemas de negócio e/ou necessidades.
Desenvolver automações, controles, indicadores para tomada de decisões.
Gerir o processo de validação de impressões e resultados para o negócio com equipe.
Fomentar e mentoriar o processo de formulação e análise de hipóteses que ajudem a empresa a alcançar seus desafios estratégicos.
Identificar oportunidades de melhoria e propor soluções para problemas, garantindo a aplicabilidade mesmas.Mostrar mais Report","Uberlândia, Brasil",De 1 a 50 funcionários,,Empresa – capital fechado,Desconhecido/Não se aplica,5.0,3.0,5.0,4.0,4.5,100,Não Informado,"liderar solucoes superior preferencialmente indicadores regressao responsabilidades proficiencia desejavel . alcancar projetos automacoes mentoriar hibridas atribuicoes metodologia participar estrategicos consistentes simultaneos melhoria logistica estudo controles validacao reunioes identificar trabalho conhecimentos equipe analise atuacao garantindo e/ou inteligencia negocio novas machinelearning lider entendimento exatas fomentar ajudem dados gerir report scrum problemas estruturantes agil impressoes tomada completo propor empresa formacao area bibliotecas estatisticos master experiencia empresas tradicional pessoas , sql missao ciencia outras resultados gestao necessidades modelos estruturas mineracao junto meio significativa hipoteses implementar decisoes areas diferentes desenvolvimento metodos tecnicas tecnicos aplicar processo certificacao desenvolver frameworkse modelagem ocultas formulacao mesmas.mostrar adotada oportunidades arvores desenvolvendo aplicabilidade decisao python desafios coordenar",cientista de dados,Não Informado
3, A3Data,cientista de dados pleno e ,Trabalho remoto,4.7,https://www.glassdoor.com.br/partner/jobListing.htm?pos=118&ao=1136043&s=58&guid=0000018510b29fbf98c5b1b0602b1e36&src=GD_JOB_AD&t=SR&vt=w&cs=1_05aa1eb3&cb=1671022420144&jobListingId=1008340218995&jrtk=3-0-1gk8b57vakf27801-1gk8b5801im97801-221f63979943de39-,"A A3Data é uma consultoria referência em #Dados!
Temos a missão de acelerar a cultura Data Driven nas organizações. Nosso foco é implantar Inteligência Estratégica e potencializar a cultura dos dados para os nossos clientes!
Somos parceiros e estamos presentes no maior parque tecnológico urbano e aberto do Brasil o Porto Digital, localizado em Recife.
Somos ágeis, analíticos e avançados e temos uma cultura leve, horizontal e muito colaborativa!
Nosso propósito é empoderar as pessoas por meio dos dados. E, por isso, buscamos parceiros que também sejam loucos por dados e apaixonados por gente!
#VemSerUmEu.A3
Responsabilidades e atribuições
Para ser um Cientista de Dados na A3 buscamos alguém que:
Não é necessário saber tudo! Você será avaliado com base na sua senioridade (pleno ou sênior).
﻿Conheça das técnicas e documentos para levantamento de requisitos e especificações;
Saiba lidar com alto volume de dados de diversas fontes diferentes;
Saiba implementar um pipeline completo, desde a aquisição dos dados, refinamento até a apresentação dos resultados;
Realize análises exploratórias dos dados;
Selecione e implante técnicas e algoritmos de Machine Learning ou IA para a resolução dos problemas selecionados;
Utilize aprendizado de máquina supervisionado e não supervisionado para solucionar problemas;
Resolva problemas de negócios usando técnicas orientadas por dados;
Tenha uma sólida compreensão de estatística, incluindo testes e distribuições;
Esteja sempre atualizado(a) sobre técnicas analíticas, como machine learning, deep learning e análise de texto;
Trabalhe adotando metodologias ágeis de desenvolvimento e entregas;
Desenvolva e reporte relatórios para justificar as técnicas adotadas;
Tenha facilidade para se comunicar;
Perfil consultivo.

Requisitos e qualificações
O que precisamos que você tenha (requisitos):
Graduação em estatística, matemática computacional, ciências da computação e afins;
Trabalhar com uma variedade de linguagens de programação, incluindo SAS, R, Shiny e Python;
Conhecimento em estatística e técnicas de machine learning e processamento de linguagem natural;
Experiência com técnicas e ferramentas para tratamento de dados estruturados e não estruturados;
Modelagem Prescritiva;
Conhecimento em Containers;
Conhecimento MLops;
Conhecimento em Nuvem;
Capacidade de construir Storytelling.

Informações adicionais
Nossos benefícios:
Vale Alimentação/Refeição no cartão Swile;
Swile Parceria com Total Pass (academias) e Zenklub (terapia);
Plano Saúde SulAmérica- 100% subsidiado para você Eu.A3;
Plano Dental Amil;
Seguro de Vida;
Participação nos Lucros e Resultados;
Bônus anual;
Parceria com a Open English;
Parceria na conta de luz/operadora de energia elétrica Cemig (para colaboradores que residem em Minas Gerais);
Empresa cidadã “licença maternidade e paternidade estendida”.
E mais:
100% Home Office;
40 horas semanais;
Dia a dia descontraído e acolhedor;
Plano de carreira e acompanhamento individual;
Programas internos de compartilhamento de conhecimento;
Prezamos pela diversidade, liberdade, flexibilidade e autonomia!
Curtiu o desafio?
Estamos ansiosos para receber seu CV
Um dos nossos valores é ser transparente, sempre! Por isso, é importante que saiba que avaliamos todos os CVs cadastrados e, se você tiver fit com a vaga e com nossa cultura, te convidaremos para um primeiro bate papo!
Mas, caso seu CV não seja selecionado dessa vez, não se preocupe! Ficaremos de olho, para futuras oportunidades.
Somos uma das principais consultorias especializadas em DADOS e INTELIGÊNCIA ARTIFICIAL do Brasil, com foco na TRANSFORMAÇÃO CULTURAL e ANALÍTICA de médias e grandes organizações

Somos, em nossa essência, aceleradores da cultura Data Driven nas organizações. Nosso foco é implantar Inteligência Estratégica e potencializar a cultura dos dados para os nossos clientes! Possuímos conhecimento nas mais variadas tecnologias, o que nos permite moldar soluções abrangentes e flexíveis.
Somos ágeis, analíticos e avançados e temos uma cultura leve, horizontal e muito colaborativa!

Nosso propósito é empoderar as pessoas por meio dos dados. E, por isso, buscamos parceiros que também sejam loucos por dados e apaixonados por gente!
#VemSerUmEu.A3Mostrar mais Report","Belo Horizonte, Brasil",De 51 a 200 funcionários,2014.0,Empresa – capital fechado,Desconhecido/Não se aplica,4.4,3.6,4.8,4.7,4.3,98,Tecnologia da informação,"cidada solucoes qualificacoes possuimos trabalhar transparente afins comunicar academias vez vaga porto estruturados avancados nao urbano tambem responsabilidades metodologias dental residem sulamerica- office flexibilidade abrangentes selecione . autonomia flexiveis parceria minas swile estatistica colaboradores participacao atribuicoes implantar analiticas eu.a3 recife fontes empoderar entregas incluindo cvs vale algoritmos testes home mlops papo cultura atualizado cemig curtiu voce deep aberto convidaremos 100 ansiosos permite usando organizacoes aquisicao cadastrados selecionados horizontal valores conhecimento saber desde pleno seguro sas brasil subsidiado beneficios volume analise avaliado alto resolucao acolhedor diversas avaliamos computacional reporte luz/operadora lidar realize inteligencia acompanhamento caso diversidade programas presentes maternidade requisitos vemserumeu.a3mostrar especializadas dados adotando adotadas cv selecionado medias % english report essencia storytelling apresentacao estrategica natural lucros negocios proposito solucionar computacao machine problemas compreensao senior senioridade cientista leve tudo foco a3data : sera facilidade justificar perfil primeiro completo containers alguem matematica digital ! empresa dia texto data informacoes linguagens maior ageis desenvolva internos aprendizado plano vida horas experiencia 40 ciencias pass ficaremos pessoas , a3 grandes ( compartilhamento missao ia relatorios total liberdade receber especificacoes refinamento preocupe resultados implante variedade documentos amil parceiros saiba olho terapia aceleradores analiticos tecnologico transformacao eletrica individual tratamento analitica potencializar vemserumeu.a3 adicionais prezamos solida paternidade open desafio learning distribuicoes sempre maquina driven `` clientes supervisionado meio necessario referencia carreira acelerar graduacao shiny descontraido ate resolva dessa implementar ) estendida tecnologias precisamos ferramentas diferentes bonus anual cartao desenvolvimento sobre capacidade # tecnicas r linguagem gerais orientadas importante '' semanais futuras localizado saude moldar modelagem consultorias cultural buscamos analises exploratorias oportunidades conheca prescritiva utilize consultivo construir energia principais licenca loucos zenklub trabalhe ; ? colaborativa gente bate apaixonados variadas todos alimentacao/refeicao parque fit conta programacao consultoria base nuvem processamento python artificial levantamento pipeline",cientista de dados,pleno
4, marketdata,cientista de dados pleno,São Paulo,4.5,https://www.glassdoor.com.br/partner/jobListing.htm?pos=115&ao=1136043&s=58&guid=0000018510b29fbf98c5b1b0602b1e36&src=GD_JOB_AD&t=SR&vt=w&cs=1_6137e8d4&cb=1671022420144&jobListingId=1008328491006&jrtk=3-0-1gk8b57vakf27801-1gk8b5801im97801-802d1cbbc007012f-,"Quem Somos:

A Marketdata, empresa do grupo VMLY&R que faz parte da WPP (grupo mundial de agências que opera transformações em seus mercados locais e internacionais através da aplicação prática de soluções criativas), é uma das maiores consultorias de Data Driven Marketing da América Latina.

Detentora de inúmeros prêmios internacionais e também eleita por 10 vezes a Agência do Ano pela Associação Brasileira de Marketing de Dados, possui uma história de 22 anos de sucesso pautada em inovação, tecnologia e análise profunda de dados.

Somos uma empresa que valoriza as relações humanas, a diversidade, criatividade e toda e qualquer construção colaborativa.

Venha ser Marketdata! =)


Principais Desafios:
Geração de bases de dados para apoio no dia a dia do negócio.
Estudos e Análises estatísticas exploratórias para geração de insights.
Clusterização de clientes.
Análises de oportunidades de otimização de custos e receitas.
Criação de business cases.
Criação de dashboards para visualização de análises e indicadores.
Pode ser alguém de BI, manipulação de Dados - Com viez Analítico - Minerar base de dados, análises exploratórias, criação de Dashboards, excel - Analista de Dados -


Requisitos:
Visão analítica e facilidade de interpretação de resultados.
Experiência com estatística.
Conhecimentos em finanças.
Capacidade de síntese de dados e elaboração de apresentações executivas.
Proatividade e capacidade para encontrar soluções criativas para análises e resolução de problemas de negócio.
Programação SQL ou SAS.
Pacote Office.


Local de Trabalho:

Vila Olímpia


O que oferecemos:
Vale Refeição (inclusive no mês das férias)
Vale Transporte
Assistência Médica
Assistência Odontológica
Seguro de Vida
Auxílio Creche

. PLR
Auxílio Educacional

. Marketdata Academy (Treinamentos mensais à disposição dos colaboradores)

. Parcerias com diversas instituições de ensino

. Convênio com Cinemark

. Programa interno de orientação psicológica, financeira e jurídica

. Happy Day (day off no dia do aniversário)
Gympass

. Ginástica Laboral

. Banco de HorasMostrar mais Report","São Paulo, Brasil",De 201 a 500 funcionários,,Subsidiária ou segmento de negócio,Desconhecido/Não se aplica,4.1,3.7,4.7,4.4,4.3,97,Não Informado,"visualizacao atraves solucoes possui oferecemos executivas agencia valoriza indicadores tambem office . qualquer clusterizacao transporte pode interpretacao estatistica colaboradores parte mundial apoio vale disposicao construcao premios profunda financas historia banco transformacoes mercados aplicacao anos inovacao insights pautada tecnologia eleita trabalho seguro ano conhecimentos sas educacional inumeros wpp dashboards latina analista analise resolucao vmly parcerias off diversas juridica venha academy assistencia instituicoes viez otimizacao diversidade negocio odontologica requisitos dados detentora mes grupo report estudos inclusive criatividade problemas vezes geracao psicologica encontrar : opera facilidade vila custos empresa internacionais alguem ! dia proatividade gympass data agencias ginastica vida visao interno financeira experiencia laboral faz cases , sql bi ( - analitico associacao resultados 10 aniversario humanas orientacao analitica pacote locais pratica 22 sucesso convenio plr driven clientes treinamentos creche ferias refeicao ) bases criacao capacidade apresentacoes criativas r auxilio excel cinemark day elaboracao mensais horasmostrar consultorias marketdata medica analises exploratorias oportunidades minerar happy programa sintese principais & brasileira = toda colaborativa receitas ensino estatisticas olimpia business programacao maiores base america local marketing relacoes desafios manipulacao",cientista de dados,pleno
5, Mutant,cientista de dados senior,São Paulo,3.4,https://www.glassdoor.com.br/partner/jobListing.htm?pos=127&ao=1136043&s=58&guid=0000018510b29fbf98c5b1b0602b1e36&src=GD_JOB_AD&t=SR&vt=w&cs=1_eb8f850d&cb=1671022420146&jobListingId=1008338577753&jrtk=3-0-1gk8b57vakf27801-1gk8b5801im97801-0a6c4b865fc88d6c-,"O QUE É SER UM MUTANT?Quando você decide ser Mutant, você decide dar um passo diferente na sua vida e na sua carreira.Ser Mutant é aceitar ser parte de um grupo com coragem para traçar novos caminhos e ambição para chegar mais longe a cada dia.A gente não é a empresa da moda - nem faz questão de ser. Ao contrário, fazemos muito mais do que falamos. E preferimos fazer em grupo porque aqui é com todos e por todos.Estamos sempre em busca de gente talentosa e apaixonada para crescer e evoluir com a gente. Se você acredita no seu talento e consegue mostrar isso na prática, venha ser um Mutant.A gente te aguarda.Responsabilidades e atribuiçõesTrabalhar com parceiros de negócios, engenheiros de dados e times de tecnologia para desenvolvimento de analises comportamentais da base de clientes;Analisar dados para validar hipóteses e gerar insights de negócio;Manipular dados para tratamento, limpeza e exploração; Implementar, testar, fazer deploy, documentar e depurar processos de dados.Organizar e Contribuir com os repositórios de código e documentação da equipe e qualificar a discussão técnica com referências científicas e metodológicas fazendo ponte com as outras áreas envolvidas no projeto.Criar apresentações e traduzir a linguagem técnica para o negócio.Requisitos e qualificaçõesExperiência com técnicas de modelagem descritiva e preditiva;Experiência na construção de ETL usando SQL;Experiência com Python e/ou R para construção de modelos.Informações adicionais*O que você vai encontrar por aqui: *Flexibilidade nos seus horários;Estrutura horizontal;Dress code livre;Estacionamento para bikes e patinetes (em caso de ida ao escritório);Programas de treinamento, desenvolvimento e certificações;Oportunidades de crescimento cross brands;Empresa Cidadã: Nossos colaboradores tem a licença parental estendida;*Benefícios: *Disponibilizamos pontos para você selecionar os benefícios que fazem mais sentido para você.Assistência médica e odontológica;Seguro de vida;Vale-transporte;Auxílio Home Office no cartão Caju;Vale-refeição e alimentação;Gympass;Auxílio Creche;Auxílio filhos com deficiência;Bônus por resultados;Dayoff para aniversários;Alelo Multibenefícios;Allya - parcerias e descontos no app;Easylife - plataforma de saúde e bem-estar;*Além disso, incluímos também alguns benefícios com o propósito Mutant: *Liberdade para ser quem você é. Incluir todos com o mesmo olhar está em nosso DNA. Aqui não fazemos distinção de gênero, raça, credo ou cor! Somos todos Mutants!Pessoas e experiências são o que nos movem. São a nossa essência e nosso propósito. Ações e programas voltados a clima, desenvolvimento e cultura;Gerar valor para pessoas e negócios. Juntos, criamos produtos digitais que impulsionam os negócios.;Fazer parte de um time sensacional, que joga junto, com uma cultura de colaboração, inovação e transformação. E o mais importante: que se diverte em toda a jornada;Trabalhar e trocar conhecimentos diários. As melhores cabeças do mercado em um lugar que elas podem ser elas mesmas: é assim que entregamos soluções disruptivas;O orgulho de ser Mutant transborda com a experiência personalizada que nossa loja proporciona. Camisetas, bonés, canecas e mochilas para você levar a atitude Mutant para onde for. E o mais legal: Todo o lucro gerado pelas compras na Mutant Store é revertido para o nosso Instituto Social, Joga Junto.Conectamos o que os clientes querem com o que as empresas precisam. Fazemos isso ao criar tecnologias e experiências superiores para as marcas. Quando falamos sobre evolução digital e solução de desafios, pra nós, tudo é possível. Se ainda não for possível, a gente descobre como.Entendemos os principais desafios de marketing, vendas e tecnologia das empresas para gerar resultados financeiros. Transformamos conhecimento em insights. Desenhamos novas tecnologias e novas experiências. Implementamos e gerenciamos jornadas. Tudo para que clientes tenham a melhor experiência com as marcas. Clientes satisfeitos. Empresas líderes.As melhores cabeças do mercado em um lugar que elas podem ser elas mesmas: é assim que entregamos soluções disruptivas. Em conjunto com um exclusivo ecossistema de parcerias estratégicas e fornecedores ponta de lança,* criamos soluções para todos os momentos do ciclo de vida do cliente.*Site oficial: mutant.com.brTipo de vaga: Tempo IntegralMostrar mais Report","São Paulo, Brasil",De 1.001 a 5.000 funcionários,2016.0,Empresa – capital fechado,Desconhecido/Não se aplica,3.1,3.2,3.4,3.0,3.1,64,Tecnologia da informação,"todo solucoes vaga exclusivo nao flexibilidade office qualificar pontos chegar lucro construcao modelos.informacoes voce site talentosa atribuicoestrabalhar aniversarios raca conhecimento crescer conhecimentos mutant.a beneficios cross equipe caso novas escritorio produtos disso grupo vale-refeicao negocios sentido preditiva orgulho tudo encontrar camisetas falamos negocio.requisitos digital multibeneficios voce.assistencia empresas evolucao cientificas ( possivel moda dar gerado ciclo testar credo sempre clientes porque alem compras implementar patinetes areas descontos legal integralmostrar apresentacoes jornadas linguagem r melhor decide jornada transborda digitais como.entendemos licenca movem ? gente analisar querem podem e. base preferimos discussao desenhamos trabalhar dia.a loja melhores trocar deficiencia colaboradores parte vai tecnica talento horarios home clima cultura alguns parental tracar aguarda.responsabilidades conjunto horizontal valor documentacao parcerias aceitar sao e/ou superiores tempo financeiros proposito depurar selecionar disponibilizamos criar incluir genero empresa ! gympass qualificacoesexperiencia app experiencia etl faz estacionamento - ponte liberdade * mostrar dayoff tratamento olhar passo onde junto traduzir bem-estar mercado vale-transporte plataforma alimentacao sensacional mutants fazemos cartao sobre livre cada ainda importante estrutura coragem levar ambicao brands validar proporciona desafios acoes lanca caju bikes manipular crescimento juntos limpeza . colaboracao dna diferente fornecedores fazer voltados vendas pra usando satisfeitos mutant.com.brtipo exploracao criamos fazendo venha odontologica aqui disruptivas estrategicas bones mochilas social easylife todos.estamos comportamentais : treinamento carreira.ser atitude personalizada vida code time evoluir ponta momentos referencias certificacoes revertido canecas creche entregamos joga estendida implementamos desenvolvimento ida saude fazem repositorios analises envolvidas documentar mutant gerar metodologicas todos apaixonada python essencia cidada diverte oficial tambem filhos cabecas alelo engenheiros impulsionam contrario times dados.organizar contribuir inovacao solucao longe questao insights instituto tecnologia seguro negocio programas allya diarios dados dress ecossistema report caminhos codigo gerenciamos novos descobre busca pessoas , sql acredita outras resultados parceiros processos precisam lugar transformacao assim projeto.criar incluimos adicionais pratica transformamos junto.conectamos descritiva hipoteses ) tecnologias cor bonus tecnicas mesmas auxilio deploy modelagem medica oportunidades store principais ; consegue marcas toda distincao experiencias cliente marketing lideres.as",cientista de dados,senior
6, Fundação Ezute,cientista de dados,São Paulo,3.0,https://www.glassdoor.com.br/partner/jobListing.htm?pos=111&ao=1136043&s=58&guid=0000018510b29fbf98c5b1b0602b1e36&src=GD_JOB_AD&t=SR&vt=w&cs=1_0db77cc5&cb=1671022420143&jobListingId=1008315426042&jrtk=3-0-1gk8b57vakf27801-1gk8b5801im97801-e32cbce16640c145-,"CIENTISTA DE DADOS

OBJETIVO
Desenvolvimento de infraestrutura de Datalake a partir de bases de dados heterogêneas,
estruturadas e não estruturadas, análise das demandas de dados e informações das áreas de
negócio.
CONHECIMENTOS INDISPENSÁVEIS
Tecnologias: JAVA (JEE) com JPA. EJB, Quartz;
Data Management: Oracle, PostgreSQL, SQL Server;
ETL: TalendETL, FME, Geokettle.
CONHECIMENTOS DESEJÁVEIS
Liderança de pequena equipe de desenvolvedores.
Mínimo 5 anos de experiência.
FORMAÇÃO
Curso superior em Engenharia de Computação, Ciência da Computação, Análise de Sistemas,
Tecnologia de Informação ou áreas correlatas.
INFORMAÇÕES ADICIONAIS
Regime híbrido | 08:00h às 17:00h
Local de trabalho: São Paulo – SP
Vale Refeição e Alimentação | Plano de Saúde
Fone: +55(11) 3040-7300

Rua do Rocio, 313 – 11º andar

CEP 04552-904 - V. Olímpia – São Paulo - SPMostrar mais Report","São Paulo, Brasil",De 51 a 200 funcionários,1997.0,Empresa – capital fechado,Desconhecido/Não se aplica,2.3,3.0,2.4,2.8,3.1,58,Não Informado,"indispensaveis informacao heterogeneas +55 17:00h andar 3040-7300 geokettle superior correlatas nao ejb | cep . paulo 5 vale partir datalake anos hibrido tecnologia objetivo trabalho conhecimentos sp equipe analise quartz sao regime 08:00h negocio pequena spmostrar minimo dados management report computacao 04552-904 jee cientista : formacao data informacoes engenharia plano talendetl etl jpa experiencia , sql ( - ciencia lideranca rua curso desejaveis adicionais fme server fone estruturadas sistemas refeicao alimentacao desenvolvedores areas tecnologias ) desenvolvimento bases demandas saude 313 v. ; oracle olimpia java local 11 11o infraestrutura rocio postgresql",cientista de dados,Não Informado
